first_name,last_name,birth_date
Wilfred,Vincent,03-10-1954
Martin,Schultz,02-09-2001
Matt,Celine,04-07-1960
Carol,Wylie,04-08-1981
Gala,Cackle,22-02-1959
Jon,Guarnaccia,02-12-1955
Tom,Kowalski,27-11-1990
Michael,Jeter,24-07-1997
Magnus,Ferrari,21-01-1994
Silvio,Nayagan,24-04-1975
Ellen,Wylie,30-12-1965
Jessie,Meedhan,13-12-1990
Lester,Maximoff,24-07-1972
Robert,Brockman,05-05-1984
Margaret,MacNeil,20-04-1980
Thomas,Matthews,12-12-1968
Aniki,Leotardo,04-11-1986
Primo,Bushell,17-06-1975
Logan,Tao,31-03-1958
Pilar,Adler,25-07-1983
Tania,McGrath,14-07-1968
Joseph,Halifax,29-03-2000
Mitzy,Marquez,01-05-2001
Mona,Brocklehurst,12-11-1964
Jack,Valentine,06-10-1954
Dante,Fuhrey,31-08-1986
Marvin,Dredd,29-04-1973
Bill,Capone,26-04-2003
Lora,Shannon,12-11-1998
Lindsay,Anderson,07-04-1963
Lily,Hinkley,31-08-1984
Hannah,MacLeod,12-09-1982
Bruno,Kaiba,26-01-1956
Anna,Arroway,16-02-1993
Vladimir,Hiatt,04-03-1960
John,Papandrao,03-08-1989
Michael,ORourke,28-09-1980
Alex,Riviera,20-04-1997
Richard,Bigelow,03-03-1965
John,Crockett,14-07-1963
Angela,Clearwater,30-04-1960
Naoko,Davenport,07-05-1951
Ted,Breaker,11-07-1959
Bruno,Poppins,11-10-1948
Gary,Blake,23-03-1977
Mycroft,McGee,04-02-1967
Ricardo,Andrews,21-07-1987
Jeffrey,Pascoe,12-05-1957
Terence,Gaucho,22-10-1938
Rose,Dean,18-11-1969
Harold,Buchanan,26-06-1951
Dirk,Lindley,24-03-1934
Peter,Tennan,25-10-1969
Sam,Lester,06-12-1982
John,McCrimmon,06-07-1985
Lylah,Lockwood,06-03-2002
Ben,Stracci,19-05-1984
Carol,Lenox,25-07-1982
Jane,Mars,11-10-1984
Peter,Robert,04-06-1958
Eva,Amanda,02-05-1997
Harry,Sofer,12-12-1960
Lucky,Batt,14-10-1964
Frank,Johnson,05-04-1960
Jane,Trivino,02-02-1993
Bryan,Skywalker,24-05-1960
Andromeda,Steiger,31-08-2001
Elisa,Burbank,29-03-1978
Ezri,Petrie,28-04-1994
Peter,Rook,22-12-1980
Guy,Shimura,09-01-2004
Joe,Snyder,15-09-1993
Jadu,Principal,28-03-1970
Noike,Jarvik,28-06-1974
Cedric,Morgan,08-09-2003
Claire,Barrie,27-03-1969
Rocky,Kavanaugh,25-10-1948
Lydia,Carver,22-10-1954
Melinda,Boxer,23-06-2000
Rose,Morris,27-09-1996
Laura,March,14-03-1978
Jon,Landsman,11-05-1955
Truman,Lockwood,24-10-1980
Truman,Kennedy,18-09-1972
Adam,Stillman,03-01-1951
Kurt,Beltzer,16-02-1965
Abe,Osborne,23-04-1948
Herr,Hinkley,24-07-1988
James,Ichi,08-04-2002
Rick,Mowbray,24-09-1990
Alice,Bennett,06-02-1989
Tony,Smith,23-12-1967
Miles,McClure,08-06-1979
Grace,Yurinov,24-08-1977
Victoire,Jonas,22-08-1973
Simon,Dresden,12-05-1998
Rob,Mackey,05-09-1958
John,Hill,30-11-1987
Vicki,Cenva,24-06-2000
Richard,Wyatt,23-08-1954
Patricia,Rose,08-04-1993
Ann,Flowerstink,20-09-2000
John,Grissom,17-07-1957
Grant,Halliwell,30-07-2004
Miles,Quince,10-07-1982
Adam,Hecatonchires,18-02-1959
Gordon,Swift,01-01-1977
Julie,Bonasera,06-07-1960
Mickey,Heath,16-10-1963
Lisa,Baasha,02-04-2003
Marvin,Jaffe,10-05-1992
Wayne,Neutron,11-04-1987
Wellington,Torres,17-08-1992
Vincent,Blackwood,17-06-1982
Milo,Holliwell,16-02-1989
Nero,Archer,12-07-2004
Mickey,Drama,17-07-1967
Gerard,Holloway,22-03-1939
Mary,Bigelow,24-09-1979
Alice,Jones,09-10-1972
Luis,Rosenberg,20-05-1993
Tally,Nichols,24-02-1950
Ethan,Maureen,02-02-1993
Roderick,Eckhart,19-06-1966
John,Olsen,17-07-1985
Katie,Maigret,10-07-1960
Melinda,Travis,07-05-1973
Ismael,Brearly,13-10-1992
Dominic,Poppins,18-02-1971
Tony,Lamb,10-05-1992
Kurt,Sanderson,17-08-1964
Hercule,Kuramitsu,31-12-1995
Herb,Bloom-Wood,15-05-1994
Spiros,Mangel,13-12-1998
Otis,Forbin,24-04-1997
Peggy,Taylor,26-03-1983
Michael,Flood,07-11-1981
Ethel,McGillis,21-07-1999
Mac,Noble,30-08-2001
Morgan,Soong,30-05-1963
Rachel,Patil,12-05-1991
Marty,Cropper,06-10-1982
Genevieve,George,16-05-1965
Rory,Deth,25-09-1962
Cy,Kasen,09-08-1978
Donald,Maine,01-01-1959
Imogen,Carter,17-10-1985
Kymani,Winters,25-09-1973
Jean,Ackland,12-12-1969
Cy,Ferguson,28-03-1985
Moe,Russo,09-08-1976
Bill,Erin,04-08-1969
Harry,Harkness,30-03-1993
Dan,Boddicker,20-01-1962
Rosco,Brockman,04-06-1990
Vincent,Rooney,26-02-1998
Cash,Alvin,01-10-1979
Mickey,Swanson,03-03-1973
Avon,Travis,05-07-1983
Marcus,Jackson,21-02-1990
Gregory,White,11-12-1969
Holi,Greggs,30-12-1958
Lina,Maine,16-08-1978
Bill,Watson,01-03-1963
Callum,Toombs,11-12-1953
Hal,Travis,16-11-1993
Gary,Graf,20-02-1988
Geordi,Kiriakis,23-09-1970
Art,Wycliffe,17-07-1975
Basil,Kolchak,01-12-1965
Paige,Maximoff,15-07-1964
Boris,Krueger,10-03-1953
Martin,Arden,24-10-1959
Janice,Yaga,29-10-1950
Suzanne,Malvern,01-04-1963
Michael,Klump,30-09-1956
Ryan,Umbridge,20-06-1982
Kay,Rawling,05-05-1949
Juan,Davies,25-06-1994
Robin,Calvin,31-05-1986
Maria,Aran,24-04-1969
Jenny,Merrova,08-12-1960
Annie,Sanderson,13-05-1982
Blanche,Jovanovic,28-04-1975
Brian,Sullivan,10-08-1948
William,Purbright,06-02-2004
Kate,Ichihara,05-03-1977
Miranda,Warner,12-03-1966
Jeffrey,McGrath,16-09-1964
Elvis,Whale,14-08-1952
Lina,Wrack,27-07-1996
Will,Provenza,27-06-1979
Sheila,Fraser,05-07-1962
Anthony,Kingdom,17-07-1965
Rita,Lang,06-05-1953
Alan,Hardbroom,12-05-1986
Miyuki,Moses,25-09-1964
Andy,Vale,16-02-1963
Spiros,Heiji,20-07-2004
Art,Appleton,07-12-1988
William,Allen,07-11-1986
Clark,Smyth,26-07-1957
Jane,McKinley,24-10-1982
Ottilio,Burrell,18-07-1984
Raymond,Cherrytree,10-06-1991
Susan,Blake,23-06-2000
Frank,Dalma,13-06-1966
Robin,Fansler,19-01-1985
Ricky,Clericuzio,21-08-1953
Leland,Molly,08-04-1972
Andy,Weasley,08-12-1985
Drogulous,Halliwell,12-01-1955
Dominic,Toombs,21-12-1989
Carlos,Jason,08-03-1972
Deirdre,Owens,28-09-1979
Signor,Selden,14-05-2001
Pardot,Smart,15-05-1960
Jenna,Crane,22-10-1958
Leonard,Taylor,07-08-1979
Joyce,Gallardo,09-10-2000
Uri,Falcon,08-03-1951
Jane,Hill,27-01-1989
Marina,Nichols,23-05-1974
Temple,Scott,11-07-1971
Bill,Vallance,10-07-1991
Eve,Hughes,10-07-1974
Don,Khan,03-08-1971
Giacomo,Waterfield,10-04-1992
Ismael,Jonas,19-06-2000
Bruce,Corleone,06-12-1989
Harold,Ichi,26-06-1979
Cresentmoon,Rizzoli,27-04-1971
Brut,Schorr,08-08-1992
Henry,Fairweather,13-05-1978
Olga,Sugden,19-05-1993
Woodsy,Crane,05-01-1960
Will,Harvey,15-09-1993
Bo,Halliwell,03-11-1990
Roderick,Landsman,14-04-1966
Paulie,OMalley,05-11-1984
Ethel,Hare,18-06-1975
Bianca,Double,23-01-1957
Alex,Wesley,18-06-1990
Paul,Smyth,26-07-1994
Michael,Pratt,02-11-1972
Pilar,Dee,10-05-1984
Stanley,Abruzzi,10-11-2000
Mary,Owens,10-04-1986
Carrie,Jacobs,22-01-1978
Alexandra,Price,29-10-1967
Charlotte,Iosefa,06-11-1988
Sister,Gilmore,11-03-1987
Don,Justice,23-08-1994
Billy,Vimes,01-11-1980
Linda,Stillman,27-10-2000
Joseph,Ferguson,15-04-1993
Kirk,Trent,17-01-1983
Eva,Medlicott,16-09-1986
Tom,Knight,18-03-1963
Sam,Haruko,12-12-1982
Anna,Erin,07-08-1980
Annie,Rook,03-03-1985
Matt,Righetti,21-07-1982
Hank,Parker,03-01-1969
Orla,Cooper,23-02-1979
Julian,Fuyutsuki,26-11-2002
Lylah,Cage,21-11-1958
Jake,Alvin,27-04-2003
Dale,Kuramitsu,17-04-1978
Jerry,Greener,20-07-1990
Claire,Dax,29-12-1986
John,Spuckler,05-08-2002
Daniel,Cole,05-03-1980
Christopher,Bigelow,12-02-1984
Leo,Fowler,22-03-2001
Miley,Spencer,19-12-1994
Charlotte,Bat,20-05-1974
Grant,Cragge,22-06-1999
Jane,Preston,16-01-1964
Tom,Fanucci,09-10-1998
Henry,Martin,18-12-1961
Cliff,Cusack,22-01-1996
Victoria,Brown,29-12-1956
John,Jenkins,23-06-1989
Holt,Reed,13-07-1994
Paul,MacLeod,10-02-1978
Javier,Jordan,29-12-2001
Kiranin,Parkinson,17-01-1987
Charles,Banks,14-10-1967
Liz,Brown,20-03-1969
Jemima,Adler,09-06-1994
Tracy,French,26-01-1954
Tem,Mangel,12-05-1981
Timmy,Steiger,29-03-1991
Oliver,Michaels,16-07-1994
Jo,Kuramitsu,27-07-1989
Amy,Brennan,30-09-1961
Tugg,Sydnor,11-12-2003
Eddie,Peroni,30-03-1963
Ian,Leigh,03-03-1967
Janice,Randall,01-05-1978
Maia,Greener,22-05-1963
Tim,Miller,25-06-1985
Kazuki,Patil,12-09-1977
Jonathan,Prefect,13-12-1963
Jaki,Maroni,11-08-1957
Peter,Lane,06-10-1950
Howard,Cortez,16-06-1977
Tex,Robert,04-12-1974
Tony,Crusher,06-07-1992
Dale,Sigel,18-09-1963
Mary,Rougemont,19-04-1955
Moe,Smith,11-09-1996
Henry,Stewart,23-06-1975
Natsumi,Hopper,11-07-1955
Simon,Brown,10-09-1980
Santiago,Lake,18-05-2006
Marvin,Foyle,27-08-1949
Shane,Fraser,23-12-1958
Sharon,Powers,27-08-1992
Luanne,Medlicott,04-12-1958
Jake,Adebisi,16-04-1988
Manick,Archer,01-10-2004
Grace,Plinge,14-02-1994
Eleanor,de Castro,19-11-1975
Jake,Schrader,06-01-1969
Tru,West,04-04-1979
Carmine,Hunter,21-10-1981
Billie,Beckett,02-06-1994
Bruno,Sugden,28-01-1979
Charles,Gonzales,29-12-1997
Leslie,Uzuki,22-06-1977
Bunk,Swift,20-04-1979
Chris,Johnson,22-06-1969
Jessica,March,08-05-1973
Kay,MacAllister,10-08-1958
Melody,Blossom,05-04-1997
Al,Edwards,04-02-1982
Walter,Morgan,23-02-1956
Haley,Crusher,20-05-1966
Troy,Lionel,11-12-1955
Susan,Kolchak,11-03-1990
Joe,Dingle,08-06-1973
Carl,Gordon,27-08-1998
Ryoko,Heath,11-02-1961
Eva,Groan,17-06-1998
Dolores,Davenport,02-11-1971
Sal,Larsen,05-05-1978
Laura,Hope,04-04-1994
Kay,Erin,07-12-1976
Jadzia,Vincent,03-11-1963
Oliver,Hughes,21-04-1993
Abraham,Crandall,24-04-2000
Cash,Cunningham,09-04-1995
Eddie,Elgin,16-02-1956
Rowena,Mann,21-01-1999
Lina,Carling,04-01-1962
Jo,Reed,15-01-1958
Wade,Hill,25-06-1949
Alberto,Walker,13-03-1996
Nea,Gently,20-05-1955
Kate,Skye,03-09-1997
Denise,Martin,23-06-1963
Gregory,Barnes,14-11-1978
John,Lang,12-06-1971
Georgette,Lambert,13-11-1991
Jo,Lovegood,12-08-1969
Rick,Williams,13-04-1975
Nancy,Benson,17-03-1978
Keith,MacLean,05-03-1961
Alan,Xavier,13-04-1960
Gary,Harkness,07-11-2003
Lana,Glicker,23-05-1949
Jack,Colon,05-06-2003
Obidiah,Maxime,31-03-1957
Montana,Farisi,08-05-1974
Robert,Mars,20-06-1998
Johnny,Antony,01-10-2004
Velu,ONeill,20-02-2003
David,Gently,26-01-1969
Dusty,Manu,03-11-1965
Ben,Tate,24-11-1953
Joel,Orville,16-11-2003
Sam,Wilson,19-05-1999
Annabelle,Stackhouse,13-07-1960
Midge,Fisher,26-01-1934
Eddie,Cole,23-01-1952
Jonah,McCoy,06-10-1963
Tochiro,Riviera,17-04-1956
Rita,Wright,03-12-1962
Olivia,McClure,09-08-1966
Bo,Wallenquist,02-12-1969
Jeff,Thornton,28-07-1991
Anna,Morrow,12-12-1973
Seto,Malvern,01-10-1949
Ella,Yurinov,01-07-1995
Elisa,Stapleton,16-05-1966
Molly,Scott,21-09-1986
Pepper,Milly,10-09-2002
Maia,Jovanovic,26-01-1978
Mary Jane,Owens,04-04-1975
Benjamin,Flood,22-08-1955
Linda,Harding,23-08-1981
Kiriko,Lockwood,04-06-2001
Hal,Thorndyke,18-07-1949
Tony,Baily,08-09-1991
Mary,Kedward,03-01-1975
Cash,Haruko,15-03-1950
Franz,Melinda,28-07-1966
Joe,Kennedy,06-11-1976
Carmine,Klump,18-12-1949
Emilio,Maureen,19-08-1980
Poppy,Bell,10-06-1956
Madeline,Pargeter,21-12-2000
Alphonse,Carver,18-11-1979
Tobias,Guerrard,25-07-1951
Salvatore,Pond,21-10-1998
Sarah,Day,31-03-1966
Roderick,Bottom,15-06-1995
Frank,Maine,01-11-1958
Al,Hardy,24-10-1950
Enos,Sanderson,09-04-1969
Avery,Fidelma,20-01-1968
Simon,Kammerer,10-05-1966
Miss,Thickey,27-03-1977
Charlotte,Farrell,24-01-1958
Jefferson,Brockman,18-07-1967
Anthony,Challis,20-05-1958
Sherlock,Sidle,14-08-1936
Jack,Garlick,02-11-1997
Carlie,Murphy,20-09-1956
Jay,Munroe,26-03-1994
Jimmy,Serrano,22-10-1987
Alex,Soze,09-08-2002
Celeste,Matthews,12-11-1961
Vivian,Makibi,30-12-1961
Sabrina,Brown,28-06-1996
Peggy,Bigelow,19-05-1982
Roman,Gordon,07-02-2002
Quinn,Lionel,26-06-1995
Jessica,Hill,15-04-2002
Endora,Lockwood,15-06-1950
Celeste,Breaker,05-07-1964
Anthony,Carter,13-06-1956
Nancy,Goren,03-06-1986
Kate,Lupertazzi,09-07-1954
Sara,Alvin,11-10-1984
Carmine,Finskter,14-05-1967
Nick,Lopez-Fitzgerald,21-05-1964
Parvati,Van Tassel,14-11-1994
Lucky,Crane,28-11-1994
Hannah,Smyth,22-10-1980
Kathy,Hudson,16-11-1967
Anna,Selwyn,07-07-1985
Angela,Buchanan,30-05-1973
William,Kent,15-08-1955
Peter,Mannheim,13-01-2002
Lucky,Deakins,02-01-1974
Damon,Brennan,04-12-1950
Tulio,Napoli,01-11-2003
Wellington,Canlaster,05-01-1963
Maia,Hanadarko,11-05-1983
Thomas,Morris,28-04-1981
Ervin,Aran,23-09-1985
James,Stillman,25-03-1993
Danny,De Lena,30-11-1970
Jaenelle,Sharpe,07-12-1988
Asuka,Gaucho,04-10-1997
Avon,Tony,09-07-1955
Nino,Marley,05-04-2004
Lester,Forbin,27-08-1960
Francis,Coccotti,16-02-1998
Charity,Morrow,15-05-1953
Bobbie,Weasley,07-07-1988
Danny,Troy,26-10-1958
Les,Morgan,05-12-1962
Sarah,Brown,21-06-1952
Sam,Carr,29-05-1960
Anna,Baker,09-04-1951
Motoko,DeWolff,02-09-1993
Lizzie,Cropper,09-04-1950
Danny,Nichols,31-05-1982
Thomas,Lowe,22-08-1994
James,Tanner,04-05-1968
Poppy,Vincent,27-12-1994
Al,Merry,26-03-1964
Bill,Willows,08-06-2000
Tiffany,Cao,24-05-1979
Jonathan,McAllister,12-10-1972
Karima,Franklin,24-04-1998
Gary,Neri,30-05-1982
Bridget,Trivino,03-07-1999
Harry,Leotardo,18-09-1998
Hal,Artisan,29-10-1974
Rachel,Warner,06-04-1981
Jillian,Valentine,10-03-1984
Miyuki,Tanner,26-06-1954
Rex,Lynley,23-03-1981
Marvin,Bolt,18-06-1987
Danielle,Summers,08-08-1939
Harold,Maraschino,17-09-1960
Roland,Hanover,09-04-1986
John,Cooper,23-10-1998
Mandy,Munroe,09-04-1959
Cully,Billa,02-06-1977
Hannah,Wyms,25-07-1977
Andrew,Peace,02-05-1962
Van,Davenport,21-12-1985
Al,Travis,28-10-2003
Jimmy,Stiles,26-03-1968
Septima,Davies,02-03-1983
Tony,Milbury,16-12-1982
Emmett,DiGeorge,27-07-1960
Tracy,Omovich,09-10-1970
Don,Clouseau,28-02-1975
Tom,Meacham,22-11-1968
Thomas,Redfield,29-01-1957
John,Devine,19-06-1979
Ray,Hoare,02-07-1996
Don,Baily,11-03-1962
Saito,Tony,05-11-1962
Jim,Grant,20-12-1974
Jake,Gravelli,10-08-1961
Alex,Roland,19-02-1982
Johnny,Jackson,10-09-1951
Fleur,Becker,30-01-1961
Miguel,Whitlock,02-05-1963
Meyer,Holden,22-11-1957
Arnold,Tate,15-07-1997
Chris,Pargeter,15-11-1998
Peter,Olivaw,15-01-2005
George,Gudmundsdottir,16-05-1987
Lucinda,Royle,27-04-1950
James,Gordon,03-06-1970
Tubby,Sacrimoni,01-11-1993
Grant,Kelso,24-06-1999
James,Reilly,12-06-1968
Neville,Porlock,20-03-1983
Norman,Scott,23-05-1987
Darryl,Che,22-07-1962
Donald,Preston,09-09-1982
Don,Vargas,12-12-1986
Harper,Ogawa,23-03-1981
Paul,Sagdiyev,16-05-1994
Don,Thorndyke,06-06-1948
Fenella,Connolly,20-03-1962
Henrieta,Lawson,30-05-1963
Vislor,Stape,10-05-1985
Eddie,Flynn,13-03-1955
Bill,Russo,30-10-1971
Wilfred,Russo,13-02-1993
Carlito,Bek,15-10-2002
Miles,Chang,01-07-1997
Violet,Webber,18-08-1984
Arnold,Burnett,08-10-1966
Curtis,Ichi,09-10-1955
Isobel,Taylor,08-08-1994
Claire,Parkinson,15-07-1925
Gabrielle,Longbottom,29-05-1962
Nico,Espinosa,15-09-1958
David,Soprano,10-03-1993
Sally,McPherson,22-07-1963
Callum,Rosetta,24-06-1949
Deirdre,Baley,10-09-1994
Alexei,Banzai,02-03-1980
Nick,Serizawa,24-03-1955
Laszlo,Kaiba,15-10-1974
Donna,Tennison,20-08-1984
Escobar,Fansler,10-09-1966
Eddie,Gharty,31-05-2001
Carl,Costigan,13-12-1983
John,Martin,17-09-1969
Thomas,Moreland,23-04-1949
Larry,Swirling,18-12-1995
Doris,Page,19-05-1997
Georgette,Brown,18-05-1989
Dale,Tan,06-10-1992
Holland,Tam,28-10-1963
Bernard,Goren,01-02-1988
Simon,Boyce,03-08-1987
Jack,McArthur,01-03-1992
Nancy,Desmond,18-12-1977
Achille,Ozaki,14-06-1957
Miss,Page,22-05-1956
Rory,Komov,16-11-1971
Paul,Garrick,05-10-1957
Ralph,Cropper,19-01-1945
Miles,Belov,11-12-1956
Ryoko,Akagi,20-04-1992
Alberto,Bradley,27-05-1986
Genesis,Ravenclaw,29-05-1963
Maia,Sprout,25-04-1968
Kline,Fortune,23-06-1989
Andy,Rosewood,12-01-1964
David,Halliwell,10-05-2001
Nick,Corleone,23-12-1961
Evan,Clearwater,28-03-2000
John,Thackeray,24-10-1984
Jack,Soran,24-09-1961
Tom,Rigazzi,28-11-1966
Alexei,Brockman,20-04-1989
Barney,Hudson,29-12-1992
Adam,Ryan,06-09-1968
Buckaroo,Volsky,12-01-1992
Walter,Dean,31-01-1985
Alejandro,Hally,23-12-2003
Sunny,White,30-04-1950
Rocco,Montford,02-07-1990
Leo,Ravenclaw,01-06-1959
Miyuki,Handley,08-06-1983
Steven,Bottoms,05-04-1966
Peter,Carter,24-05-1965
Jesse,Purebred,24-05-1984
Philip,Fellowes,26-03-1965
Sister,Allan,31-01-1980
Molly,Wesker,05-10-1956
Lindsay,Summers,20-04-1958
Lily,Angie,30-05-1978
Todd,Nash,31-05-1991
Renfield,Caspar,17-11-1999
Bernard,Brown,29-11-2002
Andy,Graham,14-06-1996
Maureen,Maximoff,28-02-1983
Tim,Lee,30-06-1993
Donald,Morgan,13-10-1998
George,Vendrell,26-12-1961
Chan,Snyder,24-12-2003
William,Pike,20-02-1950
Sasha,Bonasera,09-09-1984
Kay,Brearly,23-07-1984
George,Vallance,27-12-1977
Enrique,Trudeau,16-05-1993
Tony,Halliwell,23-06-1971
Linda,St. Clare,01-06-1938
Albert,Rojo,02-07-1957
Betsy,Matthews,01-11-1960
Eddie,Bigelow,29-10-1956
Giacomo,Webber,17-02-1984
Blanche,Barnes,12-12-1957
Melanie,Beaumann,27-04-1967
Marcus,Wallander,08-05-1981
Alexei,Reardon,17-09-1958
Dol,Forelli,27-07-1976
Eva,Wong,06-12-1999
Temperance,Wright,30-03-1966
Michael,Sakatsu,04-06-1987
Joel,Takata,12-06-1989
Melvyn,Bergman,26-04-1952
Arnold,McCrary,15-06-1967
Jimmy,Henderson,08-02-1968
Sister,Taylor,25-10-1960
Victor,Corneo,26-03-1988
Jonathan,Cortez,12-09-1967
Norbert,Spellman,27-12-1998
Toby,Crabbe,10-11-1986
Luke,Sugden,09-10-1979
Anthony,Graf,29-07-1998
Paulie,Yang,29-10-1999
Fenella,Tribbiani,08-10-1975
Willow,Frye,31-01-1968
David,Morrow,06-09-1964
Juliet,Wong,16-08-1968
Jean,Banzai,02-12-2003
Keyser,Trivino,24-03-1987
Willow,Burdock,23-02-1940
Georgina,Lynch,14-02-1969
Kate,Calvin,21-10-1974
Cooper,Powers,18-09-1981
Mihoshi,Eckhart,26-04-1960
Giacomo,Double,04-09-1975
Giacomo,MacAllister,17-07-2001
Peter,Thornton,05-05-1972
Travis,Harrison,19-11-1983
Dale,Hardbroom,04-07-2001
Jules,Xavier,24-07-2000
Dale,Brockman,20-07-1973
Mark,Bain,24-09-1960
Miguel,Fabray,28-04-1971
Wilfred,Lane,16-06-1954
Signor,Pulaski,12-02-1977
Jack,Bennett,06-04-1991
Nelson,Ray,03-04-1992
Bumpy,Hort,04-09-1983
Harmony,Tachikawa,15-10-1994
Becky,Halliwell,26-01-1987
Woody,Granger,28-07-1955
Sister,Lilly,28-04-1939
Kevin,Vimes,12-01-1975
Walter,Maxwell,10-02-1986
Patricia,Cooper,24-07-1951
Sarah,Hare,03-09-1993
Hestia,Quirk,02-10-1980
Citan,Morgan,08-12-1964
Shane,Peroni,30-10-2001
Kelly,Kalman,11-07-1997
Charles,Trent,17-05-1981
Rajesh,Riggs,04-12-1958
Don,Medlicott,21-05-1997
Miranda,Blossom,27-10-1961
Moe,Tsuna,08-09-1992
Citan,Seaton,08-07-1993
John,Scott,20-06-1964
Hannah,Price,23-01-1987
Violet,Bardo,18-07-1950
Ray,Nagre,14-08-1955
Angelo,Turlough,16-04-1987
Shaz,Manu,22-09-1973
Jay,Prentiss,04-02-1992
Kate,Fowler,13-01-1981
Cameron,Bigelow,13-08-1980
Sam,Mott,19-09-1951
Harry,Halliwell,26-12-1992
Alec,Thomas,17-10-1968
Woody,Franklin,25-12-1972
Jo,Marple,16-10-1979
Lavender,Battersby,06-01-1979
Rance,Kynes,09-06-1987
Deanna,Shirogane,03-05-1981
Shinwell,Williams,25-09-1981
Ronnie,Ravenclaw,27-06-1964
YUko,Randall,25-08-1968
Tiola,Bluenight,25-06-1971
Polly,Yurinov,06-03-2001
Katie,Haruko,14-10-1958
Willie,Moorehead,07-12-1951
Meyer,Iosefa,23-11-2000
Alejandro,Mellie,12-02-1965
Julian,Hightower,15-08-1992
Roger,Hale,04-12-1976
Kiyone,Wildhack,15-01-1976
Jack,Bennett,12-06-1955
Jim,Nicolavic,10-09-1993
Vijay,Scotts,21-02-1995
Alejandro,Vecchio,29-07-2002
Winifred,Cunningham,26-07-1988
Harry,Tribbiani,23-12-1957
Joe,Lonnegan,24-06-1967
Carlton,Ohayon,09-12-1999
Yuri,Lazarus,20-03-1981
Hal,Caliban,10-11-1986
Bonnie,McGrew,05-04-1983
Didi,DAmico,05-09-1949
Curtis,Troy,07-12-1989
Kirk,Marley,03-08-1976
Barney,Littlefield,15-11-1964
Nessa,Garrett,11-10-1960
Tom,Lopez,19-10-1950
Lucky,Crusher,16-11-1981
Artemus,Freeman,06-06-1959
Paul,Cork,29-10-1985
Emmett,Guarnaccia,12-06-1961
Bernard,Fortunato,06-07-2004
John,Gently,29-04-1978
Seamus,Szalinski,23-10-1959
