first_name,last_name,birth_date
Elizabeth,Spencer,05-09-1973
Basil,Potter,06-09-1973
Vera,Lawless,13-09-1973
Shaz,Manu,22-09-1973
Kymani,Winters,25-09-1973
Genevieve,Anderson,09-10-1973
Polly,Johnson,16-10-1973
Bruce,Castang,18-10-1973
Lonnie,Lonnegan,22-10-1973
Selsdon,Leela,02-11-1973
Andy,Wexford,04-11-1973
Martin,Overstreet,26-11-1973
Anna,Morrow,12-12-1973
Lucky,Deakins,02-01-1974
James,Sullivan,25-01-1974
Maxim,Boddicker,28-01-1974
Norine,Light,30-01-1974
Maia,Warbeck,31-01-1974
Tyra,Shannon,22-02-1974
Subhash,Vercetti,04-03-1974
Christine,Soran,06-03-1974
Mar?a,Knott,13-03-1974
Anthony,Scully,17-03-1974
Justine,Sena,19-03-1974
Hecky,Atwater,07-04-1974
David,Costigan,11-04-1974
Mimi,Pearle,18-04-1974
Tristan,Kelso,19-04-1974
Phil,Uzuki,24-04-1974
Montana,Farisi,08-05-1974
Kate,Carlyle,15-05-1974
Roland,Murphy,19-05-1974
Charlotte,Bat,20-05-1974
Marina,Nichols,23-05-1974
Nicky,Jenkins,27-05-1974
Doris,Stillman,12-06-1974
June,Smart,13-06-1974
Huma,Fansler,14-06-1974
Joe,Trevelyan,20-06-1974
Noike,Jarvik,28-06-1974
Keith,Omovich,02-07-1974
Alex,Walker,06-07-1974
Eve,Hughes,10-07-1974
Beatrice,Blackwood,16-07-1974
Faye,Wilde,19-07-1974
Mel,Corleone,24-07-1974
Delores,French,26-07-1974
Ashley,Blake,27-07-1974
Maggie,Purebred,04-08-1974
Lenny,Holmes,07-08-1974
Gary,Gharty,11-08-1974
Roderick,Sun,20-08-1974
Jamie,Riley,23-08-1974
Gary,Shimura,24-08-1974
Pansy,Morrow,27-08-1974
Thomas,Ravenclaw,30-08-1974
Basil,Brockman,09-09-1974
Piper,Klump,09-09-1974
Samantha,Blossom,01-10-1974
Phil,Belden,13-10-1974
Laszlo,Kaiba,15-10-1974
David,Beresford,17-10-1974
Angela,Zapatti,20-10-1974
Kate,Calvin,21-10-1974
Hal,Artisan,29-10-1974
Dirk,Zukovsky,01-11-1974
Mona,Stape,14-11-1974
Lisbeth,Evans,21-11-1974
Alberto,Bennett,27-11-1974
Tex,Robert,04-12-1974
Jim,Grant,20-12-1974
Rose,Marie,24-12-1974
Vislor,Ichi,01-01-1975
Mary,Kedward,03-01-1975
Anita,Haruko,07-01-1975
Eddie,Weathers,08-01-1975
Agnes,Parkinson,11-01-1975
Kevin,Vimes,12-01-1975
Christy,Bennett,23-01-1975
Neil,Allan,02-02-1975
Gregory,Seldon,16-02-1975
Don,Clouseau,28-02-1975
Stefano,Gabriel,09-03-1975
Karen,James,23-03-1975
Julie,Hawker,23-03-1975
Martin,De Lesseps,25-03-1975
Sonny,Hedley,01-04-1975
Mary Jane,Owens,04-04-1975
Sandy,Cameron,06-04-1975
Rick,Williams,13-04-1975
Sydney,Lopez-Fitzgerald,18-04-1975
Silvio,Nayagan,24-04-1975
Dayne,Flowerstink,25-04-1975
Blanche,Jovanovic,28-04-1975
Phoebe,Bell,06-05-1975
Lloyd,Morgan,10-05-1975
Katya,Sato,27-05-1975
Caesar,MacLean,27-05-1975
Eloise,Harman,12-06-1975
Jake,Morgan,13-06-1975
John,Guarnaccia,15-06-1975
Primo,Bushell,17-06-1975
Ethel,Hare,18-06-1975
Henry,Stewart,23-06-1975
Lisa,Wanawake,26-06-1975
Don,Edwards,02-07-1975
Vicki,Masucci,07-07-1975
Goldie,Forbin,12-07-1975
Griselda,Ash,15-07-1975
Art,Wycliffe,17-07-1975
Daneel,Garrett,17-07-1975
Ben,Owens,24-07-1975
Roderick,Riviera,27-07-1975
Brodie,Beck,01-08-1975
Sheldon,John,01-08-1975
Liz,Pullman,04-08-1975
William,Templin,06-08-1975
Brenda,Rose,09-08-1975
Catherine,Kendall,16-08-1975
Angel,Edwards,22-08-1975
Phil,Peabody,25-08-1975
Amelia,Wainthropp,02-09-1975
Giacomo,Double,04-09-1975
Chris,Saint,06-09-1975
Didi,Del Lago,09-09-1975
Fenella,Tribbiani,08-10-1975
Holt,Cod,16-10-1975
Ben,Maroni,02-11-1975
Les,Rudd,06-11-1975
Lucy,Leon,17-11-1975
Eleanor,de Castro,19-11-1975
Barbara,Mitchell,19-11-1975
Emil,Macdonald,25-11-1975
Tom,Valchek,26-11-1975
Phil,McCall,28-11-1975
Riley,Banzai,29-11-1975
Tom,Pike,03-12-1975
Blanche,Lewis,04-12-1975
Georgette,Gallagher,06-12-1975
Mabel,DiGeorge,07-12-1975
Sarah,Travis,09-12-1975
Eddie,Wagenbach,10-12-1975
Delores,Sydnor,13-12-1975
Haruhara,Billa,17-12-1975
Todd,Dallas,21-12-1975
Tess,Harrington,22-12-1975
Charity,Soong,26-12-1975
Anna,Wilcox,03-01-1976
Kiyone,Wildhack,15-01-1976
Emma,Sena,22-01-1976
Alex,Martin,01-02-1976
Mickey,Tachikawa,02-02-1976
Vito,Cacuzza,09-02-1976
Trinity,Russo,19-02-1976
Simon,Schrute,21-02-1976
Amanda,LoPresti,06-03-1976
Dotty,Van Tassel,10-03-1976
Gail,Crusher,13-03-1976
Cross,Bennett,14-03-1976
Marcelino,Thorndyke,22-03-1976
Bill,Granite,24-03-1976
John,Colbert,24-03-1976
Fleur,Pekkala,13-04-1976
Harold,Bowles,14-04-1976
Malma,Cooper,27-04-1976
Enrique,ORourke,30-04-1976
Prue,Owens,07-05-1976
Maud,Vondopoulos,10-05-1976
Mike,McCoy,07-06-1976
Lucinda,Brocklehurst,21-06-1976
Alecto,Murphy,21-06-1976
Sonny,von Uberwald,23-06-1976
Annie,Smart,29-06-1976
Artemus,Riggs,03-07-1976
Paul,Noble,10-07-1976
Hal,Lino,23-07-1976
Dol,Forelli,27-07-1976
Hannah,Calvin,02-08-1976
Kirk,Marley,03-08-1976
Olivia,Michaels,03-08-1976
Tony,Lassiter,06-08-1976
Nancy,Akagi,08-08-1976
Moe,Russo,09-08-1976
James,Dundee,09-08-1976
Monica,Licalsi,10-08-1976
Ray,Wheeler,19-08-1976
Jimmy,Barret,22-08-1976
Constantin,Anneke,28-08-1976
Millicent,Sawyer,28-08-1976
Epiphany,Spuckler,05-09-1976
Damon,Fairfax,06-09-1976
Alexei,Jaffe,06-09-1976
China,Ishii,23-09-1976
Elsa,Robert,23-09-1976
Jack,Stark,25-09-1976
Tuppence,Clericuzio,28-09-1976
Donna,Elliot,05-10-1976
Bernard,Drake,10-10-1976
Dick,Halliwell,12-10-1976
Curtis,Mephesto,18-10-1976
Salvatore,Torres,28-10-1976
Sabrina,Spellman,31-10-1976
Lyan,Skelton,31-10-1976
Joe,Kennedy,06-11-1976
Alan,Brigante,15-11-1976
Jango,Pitts,18-11-1976
Selsdon,Rubini,24-11-1976
Roger,Hale,04-12-1976
Lyla,Clare,05-12-1976
Kay,Erin,07-12-1976
Casanova,Costello,20-12-1976
Hal,Gorbovsky,26-12-1976
Gennady,Kammerer,31-12-1976
Gordon,Swift,01-01-1977
Robyn,Cathers,01-01-1977
Kiriko,Malfoy,05-01-1977
John,Lejeune,15-01-1977
Rick,Bennett,27-01-1977
Signor,Pulaski,12-02-1977
Kate,Ichihara,05-03-1977
Michael,Tabootie,09-03-1977
Regan,Knute,15-03-1977
Christina,Kuramitsu,18-03-1977
Tom,Robins,22-03-1977
Gary,Blake,23-03-1977
Miss,Thickey,27-03-1977
Lisa,Summers,02-04-1977
Eddie,McGrew,03-04-1977
Theo,Lopez-Fitzgerald,04-04-1977
Jake,Burrell,19-04-1977
Ruby,Foreman,24-04-1977
Charity,Hoare,26-04-1977
Christine,Treskovna,02-05-1977
Bathilda,Doggett,05-05-1977
Harry,Ranall,06-05-1977
Casanova,Halliwell,12-05-1977
Eve,Harland,15-05-1977
Ben,Rabbit,23-05-1977
Cully,Billa,02-06-1977
Julius,Grant,07-06-1977
Rosco,Brennan,09-06-1977
Daneel,Carpenter,13-06-1977
Jocelyn,Erin,14-06-1977
Howard,Cortez,16-06-1977
Woody,Wallace,21-06-1977
Garryn,Handley,21-06-1977
Leslie,Uzuki,22-06-1977
Lloyd,Nesmith,24-06-1977
Amy,Leela,25-06-1977
Tom,Tyler,02-07-1977
Art,Canfield,08-07-1977
Hannah,Wyms,25-07-1977
Stephen,Moreland,25-07-1977
Gary,Ramotswe,31-07-1977
Ernest,Poirot,01-08-1977
Dante,Brown,02-08-1977
Alex,Carlyle,08-08-1977
YUko,Anneke,16-08-1977
Jennifer,McKinnon,20-08-1977
Cletus,Punchinello,20-08-1977
Grace,Yurinov,24-08-1977
Art,Castang,30-08-1977
Kazuki,Patil,12-09-1977
Ellen,Chandler,25-09-1977
Domenica,Ashton,02-10-1977
Peter,Rojo,14-11-1977
Carmine,Fabray,02-12-1977
Julio,Lawson,07-12-1977
Charlie,Martin,14-12-1977
Nancy,Desmond,18-12-1977
George,Vallance,27-12-1977
Veronica,Maroni,27-12-1977
Douglas,Gottwald,27-12-1977
Nick,Rhodes,29-12-1977
Rex,Ortega,17-01-1978
Carrie,Jacobs,22-01-1978
Maia,Jovanovic,26-01-1978
George,Parker,02-02-1978
Buck,Kasen,06-02-1978
Paul,MacLeod,10-02-1978
Megan,Taylor,12-02-1978
Maxim,Grayson,14-02-1978
Leslie,Che,22-02-1978
Trixie,Lockwood,27-02-1978
Artemus,Knight,01-03-1978
John,McNab,05-03-1978
Susan,Piper,05-03-1978
Catherine,Masaki,06-03-1978
Laura,March,14-03-1978
Patricia,Lawson,14-03-1978
Nancy,Benson,17-03-1978
Vislor,Colombo,21-03-1978
Barbara,Drill,25-03-1978
Sister,Trenton,25-03-1978
Narcissa,Shore,26-03-1978
Hoshi,Johnson,27-03-1978
Elisa,Burbank,29-03-1978
Emil,Engarde,29-03-1978
Victoria,Starr,04-04-1978
Karen,Cooper,12-04-1978
Don,McCrary,12-04-1978
Indiana,Kingsley,17-04-1978
Dale,Kuramitsu,17-04-1978
Andrew,Reilly,17-04-1978
Jack,Sprockett,17-04-1978
Frederico,Lerrol,22-04-1978
Linda,Ozaki,22-04-1978
Jaenelle,Granger,23-04-1978
John,Gently,29-04-1978
Tania,Travis,30-04-1978
Janice,Randall,01-05-1978
Sal,Larsen,05-05-1978
Daphne,Lester,11-05-1978
Michael,Cochrane,12-05-1978
Henry,Fairweather,13-05-1978
Maleen,Maxwell,16-05-1978
Angelina,Wu,24-05-1978
David,McAllister,29-05-1978
Lily,Angie,30-05-1978
George,Carlyle,30-05-1978
Ema,ORourke,02-06-1978
Kate,Vincent,04-06-1978
Baba,Brooke,08-06-1978
Elisa,Carver,09-06-1978
Thomas,Shimura,13-06-1978
Nikki,Halliwell,23-06-1978
Jim,Grant,26-06-1978
Samantha,Heterodyne,10-07-1978
Victoria,Spellman,12-07-1978
Paul,Johnson,13-07-1978
Frances,Kelly,02-08-1978
Cy,Kasen,09-08-1978
Lex,Brockman,11-08-1978
Lina,Maine,16-08-1978
Giacomo,Falcon,22-08-1978
Olwyn,Chino,03-09-1978
Anna,Clouseau,09-09-1978
Anthony,Pullman,18-09-1978
Huma,Thomas,27-09-1978
Jadzia,Magliozzi,27-09-1978
Stone,Granite,30-09-1978
Cassie,Warren,10-10-1978
Alan,Richards,17-10-1978
Don,Mason,19-10-1978
V?ctor,Moss,24-10-1978
Henry,Cooper,25-10-1978
Georgina,Carver,08-11-1978
Maureen,Wolfcastle,12-11-1978
Gregory,Barnes,14-11-1978
Todd,Harland,06-12-1978
Linda,Burton,21-12-1978
Kate,Tura,30-12-1978
Lavender,Battersby,06-01-1979
Jo,Schultz,15-01-1979
Dayne,Decker,21-01-1979
Alecto,Hoare,26-01-1979
Bruno,Sugden,28-01-1979
Mallory,Redfield,05-02-1979
Orla,Cooper,23-02-1979
Phil,Jovanovic,25-02-1979
Jennifer,Whitefield,18-03-1979
Lew,Vondopoulos,26-03-1979
Agnes,Duckworth,29-03-1979
Shawn,Brockway,29-03-1979
Violet,Victoria,02-04-1979
Tru,West,04-04-1979
Bunk,Swift,20-04-1979
Joey,Brunetti,27-04-1979
Philip,Hojo,28-04-1979
Phil,Wylie,03-05-1979
Basil,Nona,20-05-1979
Jill,Jorkins,22-05-1979
Tiffany,Cao,24-05-1979
Jin,Mephesto,24-05-1979
Tristan,Fleming,28-05-1979
Laszlo,Hastings,29-05-1979
Miles,McClure,08-06-1979
Larry,Vance,11-06-1979
Frank,Tai,18-06-1979
John,Devine,19-06-1979
Joe,Iverson,21-06-1979
Harold,Ichi,26-06-1979
Will,Provenza,27-06-1979
Jacques,Kojak,28-06-1979
Nero,Chandler,04-07-1979
Massimo,Vincent,06-07-1979
Sam,Hernandez,09-07-1979
Calleigh,Goth,12-07-1979
Paul,Leotardo,23-07-1979
Keziah,Greengrass,24-07-1979
Leonard,Taylor,07-08-1979
Jane,Zatara,15-08-1979
Mycroft,Fitz,23-08-1979
Naomi,Heriot,25-08-1979
Martha,Cooper,27-08-1979
Kelly,Wylie,29-08-1979
Kelly,Pond,01-09-1979
Tom,Allen,06-09-1979
Mickey,Riley,09-09-1979
Mary,Bigelow,24-09-1979
Deirdre,Owens,28-09-1979
Jerry,Powers,29-09-1979
Cash,Alvin,01-10-1979
Helena,Stillman,02-10-1979
Montana,Coltrane,06-10-1979
Janine,Lopez-Fitzgerald,07-10-1979
Luke,Sugden,09-10-1979
Ronnie,Spano,13-10-1979
Jo,Marple,16-10-1979
Carlotta,Baily,23-10-1979
Amy,Fuhrey,11-11-1979
Nea,Stape,16-11-1979
Alphonse,Carver,18-11-1979
Harry,Kuramitsu,03-12-1979
Dante,McKay,04-12-1979
Celestina,De Lesseps,11-12-1979
Jean-Baptiste,Bass,12-12-1979
Stephen,Summers,29-12-1979
Bolivar,Sawyer,29-12-1979
